arm,source,host,speaker,why_unclear,url
base,src:1,news.ycombinator.com,founder,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=25808608
base,src:2,news.ycombinator.com,founder,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=25808608
base,src:3,news.ycombinator.com,founder,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=48145797
base,src:9,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=25809370
base,src:10,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=25810851
base,src:11,news.ycombinator.com,founder,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=25795029
base,src:12,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=49172683
base,src:13,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=48492685
base,src:14,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=32018066
base,src:15,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=32018066
base,src:16,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=32018066
base,src:17,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=32018066
base,src:18,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=48150981
base,src:19,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=48150981
base,src:20,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=47461687
base,src:21,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=43353299
base,src:22,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=47612964
base,src:23,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=47460217
base,src:24,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=46729951
base,src:25,news.ycombinator.com,practitioner,"talks about this market (security) with no sales call to action",https://news.ycombinator.com/item?id=46706083
base,src:26,grcpod.substack.com,practitioner,"talks about this market (compliance, soc 2, audit) with no sales call to action",https://grcpod.substack.com/p/the-commoditization-of-compliance
