arm,source,host,speaker,why_unclear,url
base,src:2,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/ai-driver-facing-cameras-how%E2%80%99s-it-going.2502636/page-3
base,src:3,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/samsura-camera.2502912/
base,src:4,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/companies-with-no-inward-driver-facing-cameras.2495585/
base,src:5,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/?page=10
base,src:6,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/?page=36
base,src:7,softwareadvice.com,buyer,"front page unreadable (403)",https://www.softwareadvice.com/fleet-management/samsara-profile/reviews/
base,src:9,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/samsara.com
base,src:10,fleetowner.com,press,"talks about this market (fleet, driver, telematics) with no sales call to action",https://www.fleetowner.com/news/article/21120911/in-cab-video-protecting-drivers-and-fleets-from-frivolous-lawsuits
base,src:11,fleetowner.com,press,"talks about this market (fleet, driver, telematics) with no sales call to action",https://www.fleetowner.com/safety/article/55381265/how-to-get-fleet-drivers-to-accept-and-rely-on-in-cab-cameras
base,src:12,fleetowner.com,press,"talks about this market (fleet, driver, telematics) with no sales call to action",https://www.fleetowner.com/safety/article/55317476/how-nuclear-verdicts-are-driving-up-fleet-insurance-costs-and-reshaping-risk-strategies
base,src:13,fleetowner.com,press,"talks about this market (fleet, driver, telematics) with no sales call to action",https://www.fleetowner.com/operations/article/55392569/atri-report-breaks-down-class-8-truck-operating-costs-by-region-and-expense-category
otto,src:1,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/www.samsara.com
otto,src:2,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/
otto,src:3,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/?page=3
otto,src:4,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/?page=6
otto,src:5,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/167543/Samsara-for-Fleets-0-00-6-23/reviews/?page=10
otto,src:6,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/ai-driver-facing-cameras-how%E2%80%99s-it-going.2502636/page-2
otto,src:7,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/samsura-camera.2502912/
otto,src:8,thetruckersreport.com,practitioner,"talks about this market (fleet, driver, safety) with no sales call to action",https://www.thetruckersreport.com/truckingindustryforum/threads/how-can-a-company-driver-view-the-videos-recorded-by-a-samsara-outward-facing-camera.2415331/
otto,src:9,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/verizonconnect.com
