arm,source,host,speaker,why_unclear,url
base,src:2,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:3,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:4,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:5,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:6,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:7,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:8,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:9,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:10,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:11,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:12,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:13,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:14,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:15,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:16,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:17,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=2
base,src:18,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:19,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:20,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:21,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:22,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:23,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com
base,src:24,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=4
base,src:25,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=4
base,src:26,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=4
base,src:27,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=6
base,src:28,trustpilot.com,customer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=6
base,src:29,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?page=6
base,src:30,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=state
base,src:31,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=state
base,src:32,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=state
base,src:33,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=clients
base,src:34,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=clients
base,src:35,trustpilot.com,practitioner,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=clients
base,src:36,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:37,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:38,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:39,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:40,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:41,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=accountant
base,src:42,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/review/gusto.com?search=time+tracking
base,src:55,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=50
base,src:56,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=2
base,src:57,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=3
base,src:58,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=3
base,src:59,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=2
base,src:60,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=2
base,src:61,healthsystemtracker.org,analyst,"talks about this market (hr, small business) with no sales call to action",https://www.healthsystemtracker.org/brief/how-much-and-why-premiums-are-going-up-for-small-businesses-in-2027/
otto,src:1,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?sort=most_recent&rating=1
otto,src:2,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=47
otto,src:3,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=12
otto,src:4,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=33
otto,src:5,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=5
otto,src:6,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=60
otto,src:7,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=2
otto,src:8,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/119841/Paychex-Flex/reviews/?page=27
otto,src:9,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/119841/Paychex-Flex/reviews/?page=3
otto,src:10,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/119841/Paychex-Flex/reviews/?page=10
otto,src:11,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/185859/RUN/reviews/
otto,src:12,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/131882/Gusto/reviews/?page=40
