arm,source,host,speaker,why_unclear,url
base,src:1,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41684106
base,src:2,news.ycombinator.com,customer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41684067
base,src:3,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41688838
base,src:4,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=44955664
base,src:5,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41684328
base,src:6,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=44956529
base,src:7,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41683952
base,src:8,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41683860
base,src:9,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=30372802
base,src:10,news.ycombinator.com,operator,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=30375930
base,src:11,news.ycombinator.com,operator,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=30371813
base,src:12,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=35698607
base,src:13,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=35707297
base,src:14,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=32068273
base,src:15,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=32943637
base,src:16,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41684368
base,src:17,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=45529863
base,src:18,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=46538702
base,src:19,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=46537735
base,src:20,news.ycombinator.com,customer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41702976
base,src:22,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=27612894
base,src:23,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=44955142
otto,src:1,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41683860
otto,src:2,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=47761945
otto,src:3,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=37278531
otto,src:4,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41772779
otto,src:5,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41688838
otto,src:6,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41706017
otto,src:7,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41622351
otto,src:8,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=33626843
otto,src:9,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=43383364
otto,src:10,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=39030569
otto,src:11,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41372905
otto,src:12,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41687113
otto,src:13,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=40000081
otto,src:14,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=33625639
otto,src:15,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=33625746
otto,src:16,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=44815462
otto,src:17,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41687956
otto,src:18,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=43694965
otto,src:19,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=28457757
otto,src:20,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41689326
otto,src:21,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41685532
otto,src:22,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41687586
otto,src:23,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=46538702
otto,src:24,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=46535350
otto,src:25,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=45527240
otto,src:26,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=27169183
otto,src:27,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=37743816
otto,src:28,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41702976
otto,src:29,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41687488
otto,src:30,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41772736
otto,src:31,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=30393402
otto,src:32,news.ycombinator.com,buyer,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=47759908
otto,src:33,news.ycombinator.com,practitioner,"talks about this market (wiki) with no sales call to action",https://news.ycombinator.com/item?id=41692746
otto,src:34,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/reviews/6a26a9dd8b9c73c6b92bfde7
otto,src:35,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/reviews/6a01e2d3fbb831c7111cb5aa
otto,src:36,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/reviews/6aa306ce3b8a636e2d1861f5
otto,src:37,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/reviews/6a2d4d8269dbd50c2e8c8c5b
otto,src:38,trustpilot.com,buyer,"front page unreadable (403)",https://www.trustpilot.com/reviews/6a27224c659d6c49e0e14412
