arm,source,host,speaker,why_unclear,url
base,src:2,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/
base,src:3,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=12
base,src:4,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=16
base,src:5,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=21
base,src:6,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=15
base,src:7,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=10
base,src:8,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=17
base,src:9,capterra.com,operator,"front page unreadable (403)",https://www.capterra.com/p/136301/Toast-POS/reviews/?page=2
base,src:10,bbb.org,operator,"talks about this market (menu) with no sales call to action",https://www.bbb.org/us/ma/boston/profile/point-of-sale-systems/toast-inc-0021-164973/complaints
base,src:11,foxbusiness.com,press,"talks about this market (pos, food) with no sales call to action",https://www.foxbusiness.com/lifestyle/restaurateurs-fuming-ominous-new-fee-billed-customers-big-tech-vendor
base,src:12,restaurantdive.com,press,"talks about this market (restaurant, pos, menu) with no sales call to action",https://www.restaurantdive.com/news/toast-fee-online-ordering-pos-payments-restaurants-square-shift4-spoton-clover-ncr/686718/
base,src:13,trustpilot.com,operator,"front page unreadable (403)",https://www.trustpilot.com/review/toasttab.com
base,src:17,restaurant.org,analyst,"talks about this market (restaurant, menu, food) with no sales call to action",https://restaurant.org/research-and-media/research/restaurant-economic-insights/analysis-commentary/elevated-costs-continue-to-pressure-restaurant-profitability/
otto,src:1,capterra.com,buyer,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
otto,src:2,capterra.com,practitioner,"front page unreadable (403)",https://www.capterra.com/p/140677/TouchBistro/reviews/?page=2
